Date,EUR,GBP,CAD,AUD,JPY
11/23/1999,0.972857282,0.615460364,1.467,1.572327044,104.29
11/24/1999,0.981836033,0.621002298,1.4663,1.580028441,104.73
11/25/1999,0.982414776,0.620231967,1.466,1.569858713,104.42
11/26/1999,0.983961429,0.622161389,1.468,1.57480315,101.87
11/29/1999,0.989707047,0.62250996,1.474,1.572574304,102.72
11/30/1999,0.990785693,0.62574307,1.4738,1.573316551,102.16
12/1/1999,0.991375037,0.624765713,1.4732,1.568627451,102.61
12/2/1999,0.998701688,0.625039065,1.4825,1.579778831,102.77
12/3/1999,0.998203234,0.624765713,1.4797,1.581777918,102.67
12/6/1999,0.977708252,0.617398284,1.4739,1.576541069,102.96
12/7/1999,0.975229179,0.615687723,1.477,1.569365976,102.4
12/8/1999,0.972951936,0.614175163,1.4785,1.568627451,102.88
12/9/1999,0.979048365,0.615763547,1.4752,1.566661444,102.47
12/10/1999,0.986777186,0.61671292,1.477,1.574555188,102.25
12/13/1999,0.985804416,0.615649818,1.4784,1.574555188,103.12
12/14/1999,0.994233446,0.620616893,1.4811,1.572821642,103.54
12/15/1999,0.992950055,0.622665006,1.4829,1.572327044,103.72
12/16/1999,0.983284169,0.620693936,1.4755,1.554001554,103.1
12/17/1999,0.991276764,0.623285964,1.478,1.555693839,103.03
12/20/1999,0.986874568,0.621310966,1.4797,1.554484688,102.44
12/21/1999,0.991571641,0.619885941,1.476,1.551109043,102.14
12/22/1999,0.990687537,0.62123377,1.4759,1.553277415,101.64
12/23/1999,0.984639622,0.618850176,1.4705,1.550147264,102.14
12/24/1999,0.989119683,0.618888476,1.4672,1.554484688,102.93
12/27/1999,0.986874568,0.61842919,1.4575,1.549907006,102.24
12/28/1999,0.993048659,0.619156709,1.4503,1.546312046,102.51
12/29/1999,0.994925878,0.617894217,1.4532,1.536570375,102.1
12/30/1999,0.991375037,0.619041723,1.4529,1.528350909,102.49
12/31/1999,0.993838203,0.617970585,1.4461,1.522765342,102.51
1/3/2000,0.976276481,0.611172228,1.4468,1.518602885,101.45
1/4/2000,0.971250971,0.611246944,1.4528,1.526717557,103.22
1/5/2000,0.968898363,0.608790941,1.45,1.51998784,104.14
1/6/2000,0.968241673,0.607017118,1.4599,1.530690341,105.23
1/7/2000,0.971345313,0.61001647,1.4558,1.526950679,105.34
1/10/2000,0.975039002,0.610724319,1.4558,1.524157903,105.16
1/11/2000,0.96749226,0.606980273,1.4571,1.520218912,105.95
1/12/2000,0.970026191,0.607312037,1.454,1.518141794,105.79
1/13/2000,0.974848898,0.607090821,1.4507,1.497230124,106.17
1/14/2000,0.987947046,0.61300803,1.4499,1.502178158,105.87
1/17/2000,0.987947046,0.612257393,1.4495,1.505570611,104.9
1/18/2000,0.986485153,0.610537884,1.4505,1.502855425,105.67
1/19/2000,0.986874568,0.607902736,1.452,1.506477855,105.32
1/20/2000,0.983477577,0.604704602,1.4467,1.501952538,105.47
1/21/2000,0.990295108,0.606538485,1.4415,1.508523156,104.78
1/24/2000,0.992851469,0.604924082,1.4438,1.528350909,105.57
1/25/2000,0.999100809,0.607828835,1.4363,1.52578578,106.04
1/26/2000,0.998103603,0.609644577,1.4395,1.533036946,105.66
1/27/2000,1.011940903,0.609904855,1.4348,1.528818224,105.12
1/28/2000,1.025956705,0.617245849,1.4464,1.57480315,107.13
1/31/2000,1.030184403,0.618735305,1.4479,1.569858713,107.32
2/1/2000,1.029760066,0.619195046,1.4486,1.581277672,107.85
2/2/2000,1.02406554,0.621581303,1.4365,1.565190171,108.16
2/3/2000,1.010713564,0.626095667,1.4419,1.575299307,107.56
2/4/2000,1.017087063,0.628219626,1.4408,1.567398119,107.19
2/7/2000,1.018848701,0.625782228,1.4486,1.57803377,108.62
2/8/2000,1.014713343,0.620616893,1.4442,1.583029919,109.47
2/9/2000,1.005833836,0.618467438,1.444,1.571832757,108.79
2/10/2000,1.014816318,0.62123377,1.4483,1.596169194,109.27
2/11/2000,1.012658228,0.62751004,1.4503,1.586042823,108.82
2/14/2000,1.022181335,0.629722922,1.4571,1.596678908,108.96
2/15/2000,1.018848701,0.626566416,1.4561,1.586042823,109.22
2/16/2000,1.013890297,0.622006593,1.4527,1.582528881,109.44
2/17/2000,1.012350678,0.62150404,1.4507,1.581527756,110.56
2/18/2000,1.016363452,0.6244926,1.4509,1.589067218,111.09
2/21/2000,1.012453174,0.624804749,1.4556,1.597954618,111.26
2/22/2000,0.996214385,0.620116582,1.462,1.607458608,110.69
2/23/2000,0.996412914,0.623480267,1.4602,1.608751609,111.07
2/24/2000,1.008064516,0.624882834,1.4536,1.62469537,111.37
2/25/2000,1.02574623,0.626841346,1.4475,1.62575191,110.29
2/28/2000,1.029972191,0.626644943,1.4519,1.626545218,109.45
2/29/2000,1.037129226,0.633232016,1.4497,1.618646811,110.33
3/1/2000,1.028066207,0.630755645,1.4497,1.650982334,107.28
3/2/2000,1.035625518,0.634276291,1.457,1.649348507,107.74
3/3/2000,1.043187982,0.63379389,1.4504,1.64365549,107.9
3/6/2000,1.043187982,0.63496095,1.4534,1.661405549,107.54
3/7/2000,1.043405676,0.632751202,1.4553,1.652619402,106.12
3/8/2000,1.040582726,0.632231144,1.456,1.640689089,107.17
3/9/2000,1.034233116,0.63183168,1.4574,1.626545218,106.53
3/10/2000,1.037667324,0.634316524,1.4574,1.62575191,106.35
3/13/2000,1.037129226,0.633232016,1.4616,1.622586403,105.52
3/14/2000,1.032417923,0.633874239,1.4651,1.626545218,105.12
3/15/2000,1.034233116,0.635647089,1.4672,1.62999185,105.69
3/16/2000,1.031353135,0.634075201,1.4735,1.635858008,105.37
3/17/2000,1.028700751,0.63500127,1.4692,1.648261085,106.73
3/20/2000,1.027960526,0.637389254,1.4691,1.645548791,106.3
3/21/2000,1.040041602,0.636253738,1.4696,1.639613051,106.78
3/22/2000,1.040582726,0.633111744,1.4705,1.654533422,107.11
3/23/2000,1.029336078,0.630238861,1.4691,1.650709805,107.24
3/24/2000,1.022599448,0.627313217,1.4633,1.643115347,106.87
3/27/2000,1.033912324,0.629643622,1.4578,1.631853786,106.79
3/28/2000,1.041124414,0.629207827,1.4537,1.622323167,105.84
3/29/2000,1.051082615,0.62751004,1.4558,1.638001638,105.69
3/30/2000,1.040257984,0.627037873,1.4545,1.630257581,105.57
3/31/2000,1.046572475,0.628496009,1.4488,1.647175095,102.78
4/3/2000,1.046791584,0.626409421,1.4507,1.643115347,104.9
4/4/2000,1.042100875,0.627667587,1.4525,1.653712585,105.16
4/5/2000,1.038961039,0.631034265,1.4503,1.649892757,104.88
4/6/2000,1.043405676,0.632311097,1.4528,1.662786831,104.77
4/7/2000,1.046791584,0.633111744,1.4583,1.670564651,105.37
4/10/2000,1.038745196,0.630715863,1.4625,1.679825298,106.44
4/11/2000,1.042535446,0.630676085,1.4635,1.678415576,106.92
4/12/2000,1.042752868,0.629485081,1.4627,1.67196121,105.78
4/13/2000,1.049979,0.630278583,1.4724,1.671402307,105.88
4/14/2000,1.039284972,0.630199143,1.4768,1.673360107,104.74
4/17/2000,1.049648368,0.632711167,1.485,1.692333728,104.54
4/18/2000,1.057865228,0.634075201,1.4812,1.681237391,104.74
4/19/2000,1.063603489,0.632111252,1.4763,1.678697331,104.82
4/20/2000,1.066780457,0.63319192,1.4742,1.688048616,105.77
4/21/2000,1.065530101,0.633111744,1.4726,1.682368775,105.77
4/24/2000,1.066098081,0.633512829,1.477,1.681802893,105.78
4/25/2000,1.086012163,0.632431065,1.4677,1.684919966,106.31
4/26/2000,1.082837033,0.634678853,1.4747,1.700102006,106.27
4/27/2000,1.099021871,0.636132316,1.4766,1.702997275,106.43
4/28/2000,1.096611471,0.644620641,1.4798,1.712622024,108.18
5/1/2000,1.091941472,0.643666323,1.479,1.716148962,108.76
5/2/2000,1.098901099,0.640861318,1.4827,1.710863986,108.41
5/3/2000,1.117568172,0.640573954,1.4936,1.688333615,109.02
5/4/2000,1.124227094,0.648845056,1.4953,1.691474966,108.03
5/5/2000,1.114827202,0.653466641,1.4901,1.676445935,108.56
5/8/2000,1.113957892,0.652230629,1.4919,1.720282126,109
5/9/2000,1.101928375,0.653125204,1.4913,1.707650273,109.19
5/10/2000,1.102779003,0.661463157,1.4927,1.722059583,109.53
5/11/2000,1.109139308,0.665114732,1.4881,1.721170396,108.52
5/12/2000,1.08731108,0.657808183,1.4856,1.720874204,108.47
5/15/2000,1.097453907,0.664275276,1.4864,1.750393839,109.3
5/16/2000,1.110740864,0.669702652,1.4844,1.734003815,109.66
5/17/2000,1.116196004,0.668091929,1.4971,1.758087201,109.32
5/18/2000,1.117818019,0.674081564,1.499,1.750087504,108.65
5/19/2000,1.114206128,0.672494956,1.4967,1.741553466,106.98
5/22/2000,1.107297088,0.67001675,1.4972,1.749475157,107.14
5/23/2000,1.102414287,0.677093913,1.5064,1.740644038,106.42
5/24/2000,1.10570544,0.677828238,1.5091,1.751313485,107.8
5/25/2000,1.097092704,0.680179567,1.5028,1.759014952,107.35
5/26/2000,1.074229241,0.67114094,1.5031,1.743375174,107.15
5/29/2000,1.079214332,0.67001675,1.499,1.747030049,107.04
5/30/2000,1.075153209,0.668181211,1.5055,1.73852573,106.55
5/31/2000,1.066098081,0.666045025,1.4966,1.746724891,107.66
6/1/2000,1.073883162,0.669164882,1.4908,1.747946163,108.52
6/2/2000,1.056747332,0.662339383,1.4772,1.724732666,108.03
6/5/2000,1.054963604,0.658067913,1.4791,1.718213058,107.33
6/6/2000,1.047339757,0.654278985,1.4774,1.69865806,105.8
6/7/2000,1.039284972,0.656857593,1.4785,1.684352367,105.32
6/8/2000,1.046025105,0.66190098,1.4769,1.69865806,105.84
6/9/2000,1.048657718,0.662427133,1.4747,1.70039109,106.91
6/12/2000,1.048437828,0.660894852,1.4764,1.689760054,106.85
6/13/2000,1.042100875,0.663658083,1.4682,1.677008217,106.93
6/14/2000,1.043950308,0.667111408,1.4677,1.668056714,106.63
6/15/2000,1.047449461,0.661331922,1.4754,1.658925017,106.46
6/16/2000,1.03626943,0.659935326,1.466,1.649348507,106.41
6/19/2000,1.045259747,0.661550675,1.4653,1.663616703,105.91
6/20/2000,1.047339757,0.658501251,1.4704,1.658925017,105.53
6/21/2000,1.059097649,0.66728947,1.4734,1.660302175,105.55
6/22/2000,1.068947087,0.661113315,1.4769,1.676164935,104.57
6/23/2000,1.068490223,0.666178136,1.4828,1.681802893,104.75
6/26/2000,1.067349771,0.668047298,1.4833,1.674761347,105.66
6/27/2000,1.057194207,0.663437935,1.4802,1.662510391,105.36
6/28/2000,1.063716626,0.660894852,1.4783,1.660577881,105.57
6/29/2000,1.050420168,0.658414538,1.4824,1.664447403,105.32
6/30/2000,1.049868766,0.660458358,1.481,1.673920321,106.12
7/3/2000,1.052410019,0.660720185,1.481,1.671402307,105.69
7/4/2000,1.051193104,0.659978881,1.485,1.671402307,106.1
7/5/2000,1.049868766,0.663393923,1.4894,1.696352841,106.96
7/6/2000,1.051856527,0.663437935,1.4854,1.694915254,107.44
7/7/2000,1.054407423,0.660545611,1.4805,1.689474573,107.91
7/10/2000,1.046791584,0.660938533,1.478,1.687194196,107.01
7/11/2000,1.049648368,0.659108885,1.4796,1.701548409,107.12
7/12/2000,1.061120543,0.663834307,1.4822,1.698369565,108.09
7/13/2000,1.067008109,0.665158973,1.4818,1.70998632,108.13
7/14/2000,1.065530101,0.666400107,1.4847,1.711156742,107.72
7/17/2000,1.067691651,0.668985818,1.4821,1.701258932,108
7/18/2000,1.081314879,0.667690459,1.4764,1.71998624,108.14
7/19/2000,1.081548778,0.667467628,1.477,1.734304544,108.29
7/20/2000,1.071696496,0.661550675,1.4728,1.712915382,107.67
7/21/2000,1.067349771,0.659195781,1.471,1.707650273,108.92
7/24/2000,1.071007818,0.659935326,1.4649,1.707650273,108.78
7/25/2000,1.065530101,0.659369643,1.4665,1.708233686,109.12
7/26/2000,1.060670344,0.659848235,1.4649,1.691761123,109.19
7/27/2000,1.073306858,0.660458358,1.4722,1.699813021,109.16
